sampleMetadata	gene	mouse_nb	sex	initial_name	class	polarity	injectionOrder	batch	sampleType	KO	pca_sco1	pca_sco2	hotel_pval	miss_pval	deci_pval	id
X501f	MX2	501	F	X20180910_501P_neg_040	Bio	0	40	b1	sample	Mx2	-12.5869173623964	18.2161869875571	0.656316673644906	1	0.694271939254064	X501f
X502m	MX2	502	M	X20180910_502P_neg_057	Bio	0	57	b1	sample	Mx2	-33.9958625701832	-5.2287489124207	0.389523502462681	1	0.0968087148385122	X502m
X503m	MX2	503	M	X20180910_503P_neg_046	Bio	0	46	b1	sample	Mx2	-46.2857219028596	-28.2122714118723	0.0966217332409296	1	0.0335778416229908	X503m
X506m	MX2	506	M	X20180910_506P_neg_066	Bio	0	66	b1	sample	Mx2	-41.4673248095334	-58.9530615938409	0.0158226646727331	1	0.333513815497884	X506m
X508f	MX2	508	F	X20180910_508P_neg_067	Bio	0	67	b1	sample	Mx2	-27.5401494239556	40.9119655975679	0.131682780845401	1	0.276319847997749	X508f
X509f	MX2	509	F	X20180910_509P_neg_060	Bio	0	60	b1	sample	Mx2	-14.2789889470683	36.5716772929922	0.265831547296006	1	0.501255296706869	X509f
X513m	MX2	513	M	X20180910_513P_neg_027	Bio	0	27	b1	sample	Mx2	-15.4954301147789	-50.0978189608687	0.0975065947005297	1	0.328741275335315	X513m
X517f	MX2	517	F	X20180910_517P_neg_050	Bio	0	50	b1	sample	Mx2	-0.59578004974224	13.7973707112941	0.843919270009054	1	0.268485619862352	X517f
X518f	MX2	518	F	X20180910_518P_neg_037	Bio	0	37	b1	sample	Mx2	26.329751684401	25.6297654248689	0.325247955026991	1	0.263730347378912	X518f
X521f	MX2	521	F	X20180910_521P_neg_074	Bio	0	74	b1	sample	Mx2	-5.49837495666041	13.2341334663263	0.835083254575068	1	0.555279754859769	X521f
X527m	MX2	527	M	X20180910_527P_neg_051	Bio	0	51	b1	sample	Mx2	74.203992887221	-17.0355684977293	0.0131032485586755	1	0.00251804399959354	X527m
X528m	MX2	528	M	X20180910_528P_neg_073	Bio	0	73	b1	sample	Mx2	57.9186764959145	-27.0387955703556	0.0420996420000757	1	0.00304830184213567	X528m
X529f	MX2	529	F	X20180910_529P_neg_044	Bio	0	44	b1	sample	Mx2	-17.5459226085754	33.8984567816848	0.287961386307676	1	0.424606425774965	X529f
X531f	MX2	531	F	X20180910_531P_neg_029	Bio	0	29	b1	sample	Mx2	-2.5199965079113	27.5119466702962	0.510600289948517	1	0.519069165127268	X531f
W616f	WT	616	F	X20180910_616P_neg_041	Bio	0	41	b1	sample	CTL	3.53487662811348	27.9103640655019	0.498467433338522	1	0.260427266607979	W616f
W617f	WT	617	F	X20180910_617P_neg_025	Bio	0	25	b1	sample	CTL	1.84968660425376	34.6882135877524	0.348061168793514	1	0.560230791670214	W617f
W620f	WT	620	F	X20180910_620P_neg_064	Bio	0	64	b1	sample	CTL	-1.16146358606307	43.4182401442744	0.195556560206414	1	0.129699333274679	W620f
W621f	WT	621	F	X20180910_621P_neg_053	Bio	0	53	b1	sample	CTL	27.0633717789769	11.4413892722801	0.496404019515523	1	0.237823762773453	W621f
W622f	WT	622	F	X20180910_622P_neg_072	Bio	0	72	b1	sample	CTL	11.1011347657801	29.3389599566574	0.425657762661181	1	0.460893069656873	W622f
W623f	WT	623	F	X20180910_623P_neg_058	Bio	0	58	b1	sample	CTL	30.7282737642443	10.5725814245053	0.42731397013312	1	0.0866372729593345	W623f
W625m	WT	625	M	X20180910_625P_neg_047	Bio	0	47	b1	sample	CTL	7.25599070648626	-4.13292700143206	0.943825807527773	1	0.298575817344508	W625m
W627m	WT	627	M	X20180910_627P_neg_069	Bio	0	69	b1	sample	CTL	12.0454822346088	-10.8832476989379	0.800696446008334	1	0.477486256569622	W627m
W628m	WT	628	M	X20180910_628P_neg_026	Bio	0	26	b1	sample	CTL	28.4657444316431	-24.1088523656885	0.316882001971411	1	0.131055009655739	W628m
W629m	WT	629	M	X20180910_629P_neg_061	Bio	0	61	b1	sample	CTL	11.7651177592541	-23.3709269442625	0.552709806292992	1	0.155309908810243	W629m
W630m	WT	630	M	X20180910_630P_neg_039	Bio	0	39	b1	sample	CTL	35.0054109120784	-23.8699869391223	0.232440894318187	1	0.0618638953121418	W630m
W631m	WT	631	M	X20180910_631P_neg_032	Bio	0	32	b1	sample	CTL	27.478457351641	-24.1114767366815	0.330710076733946	1	0.0444727157529945	W631m
W632f	WT	632	F	X20180910_632P_neg_049	Bio	0	49	b1	sample	CTL	0.999674283573609	21.6369692526229	0.660037479201343	1	0.784412986135176	W632f
W633f	WT	633	F	X20180910_633P_neg_034	Bio	0	34	b1	sample	CTL	46.4551381456219	27.3126268143788	0.0994801400784637	1	0.0208438408488096	W633f
W634m	WT	634	M	X20180910_634P_neg_056	Bio	0	56	b1	sample	CTL	3.00104705505194	-21.9395962459206	0.648288152685519	1	0.428470078118974	W634m
