variableMetadata	set	gene	chromato	name	chebi_id	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M242.0135T94.07	metabolomics_plasma_hilic_neg	MX2	hilic										NA			M242T94	242.01347674302	94.068079642593			939	NA		12.692863596945	1.35770122379298e-06	1	-1.10384374161025	0.487180331286579	0	3.44493049703025	plsda, svm	-0.336660995875225
M338.089T188.5	metabolomics_plasma_hilic_neg	MX2	hilic										NA			M338T188	338.089028108226	188.495647124473			1230	NA		11.8821012957972	1.29537461592569e-05	1	-2.18141590969311	0.244689112988675	0	3.25254469523598	plsda, forest, svm	-0.233468201845915
M414.1528T339.73	metabolomics_plasma_hilic_neg	MX2	hilic										NA			M414T340	414.15275974623	339.732499601578	[556][M]-		899	361	@M415.1563T339.92|-13C	2.25780823344399	1.29537461592569e-05	1	-1.12532478519705	0.00226040504321703	1	3.21533277881577	plsda	-0.380694782448279
M233.0783T350.56	metabolomics_plasma_hilic_neg	MX2	hilic										NA			M233T351	233.078349112497	350.559723065954	[285][M]-	[M-H-CO]- 262.076	6	79	@M143.0464T350.38|+(C3H6O3)|@M234.0818T350.65|-13C	2.08746942440223	1.46887269034773e-05	1	-1.12412461917334	0.00166566054765231	1	3.12823651611915		-0.382690910730324
M296.0741T340.79	metabolomics_plasma_hilic_neg	MX2	hilic										NA			M296T341	296.074138897951	340.793488874987	[403][M]-		900	268	@M297.0775T340.78|-13C	1.92071899195495	2.32963039449331e-05	1	-1.13088684070961	0.00107470197947538	1	3.06891365558825		-0.362584084565431
M313.0049T351.57	metabolomics_plasma_hilic_neg	MX2	hilic										NA			M313T352	313.004880663624	351.574961244661	[438][M]-	[M-H-C5H8O4]- 446.063	6	290	@M314.0082T351.77|-13C|@M315.0029T351.77|-34S|-41K|-37Cl|@M316.0059T351.82|-13C-37Cl|-13C-34S	1.68746522765727	2.48475598141019e-05	1	-0.97873787394137	0.00139670140078203	1	3.05711831352974		-0.356364352247187
M380.1318T340.28	metabolomics_plasma_hilic_neg	MX2	hilic										NA			M380T340	380.1318256622	340.275144377197			896	NA		2.72517262075184	0.000178503560165211	1	-2.26775151704147	0.000129957025623097	1	2.66302784557355	svm	-0.210269032696996
M216.0517T510.91	metabolomics_plasma_hilic_neg	MX2	hilic										NA			M216T511	216.051734459599	510.910534008398			1073	NA		1.02694203248751	0.000362127950069956	1	0.307081472035726	0.280241833388036	0	2.94077341161		-0.109664732006315
M317.0068T352.45	metabolomics_plasma_hilic_neg	MX2	hilic										NA			M317T352	317.006796431996	352.452712971867			231	290	@M314.0082T351.77|+13C+37Cl|+13C+34S|@M315.0029T351.77|+18O|+13C2|@M316.0059T351.82|+13C|+15N	1.92821039061157	0.00106755010079171	1	-1.36281305250692	0.00245940764565224	1	2.75257557823125		-0.317560377160713
M239.0025T146.67	metabolomics_plasma_hilic_neg	MX2	hilic										NA			M239T147	239.002472737962	146.66636538284			1206	NA		9.86218477951986	0.00187068814158687	1	-0.31158600226324	0.845289473248172	0	2.61617593768107	svm	-0.0243808426048401
