variableMetadata	set	gene	measurement	category	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
Auditory.startle.reflex.reactivity.and.PPI...P1...PP90	preclinical	MX2	Auditory startle reflex reactivity and PPI - P1:% PP90	Auditory and PPI	12.1764285714286	0.0339354631890389	1	-1.22586538461539	0.693524685445956	0	2.766457030224	plsda, forest	0
Auditory.startle.reflex.reactivity.and.PPI...P1...PP85	preclinical	MX2	Auditory startle reflex reactivity and PPI - P1:% PP85	Auditory and PPI	13.2211904761905	0.204925385315915	0	0.655432692307684	0.994071149384575	0	2.26158080901205		0
Clinical.chemistry.parameters.T..bilirubin..µmol.l.	preclinical	MX2	Clinical chemistry parameters:T. bilirubin (µmol/l)	Clinical chemistry	1.98214285714286	0.204925385315915	0	-0.370238095238096	0.580694298184088	0	2.24482719589639		0
Hot.plate.test.Nb.cage	preclinical	MX2	Hot plate test:Nb/cage	Hot plate	-0.990476190476191	0.204925385315915	0	0.490384615384615	0.2882417351641	0	2.52159885216037		0
Shock.threshold.test.Nb.cage	preclinical	MX2	Shock threshold test:Nb/cage	Shock threshold	-0.990476190476191	0.204925385315915	0	0.490384615384615	0.2882417351641	0	2.52159885216037		0
Auditory.brainstem.response.nb.cage	preclinical	MX2	Auditory brainstem response:nb/cage	Auditory and PPI	-0.919047619047619	0.204925385315915	0	0.413461538461538	0.359042968583944	0	2.49860470122618		0
Auditory.startle.reflex.reactivity.and.PPI...P1.nb.cage	preclinical	MX2	Auditory startle reflex reactivity and PPI - P1:nb/cage	Auditory and PPI	-0.919047619047619	0.204925385315915	0	0.413461538461538	0.359042968583944	0	2.49860470122618		0
Dysmorphology.IMPC.Nb.cage	preclinical	MX2	Dysmorphology IMPC:Nb/cage	Dysmorphology	-0.919047619047619	0.204925385315915	0	0.413461538461538	0.359042968583944	0	2.49860470122618		0
Grip.test.Nb.cage	preclinical	MX2	Grip test:Nb/cage	Grip test	-0.919047619047619	0.204925385315915	0	0.413461538461538	0.359042968583944	0	2.49860470122618		0
Modified.SHIRPA.Nb.cage	preclinical	MX2	Modified SHIRPA:Nb/cage	SHIRPA	-0.919047619047619	0.204925385315915	0	0.413461538461538	0.359042968583944	0	2.49860470122618		0
Modified.SHIRPA.Nb.cage.Eumodic	preclinical	MX2	Modified SHIRPA:Nb/cage Eumodic	SHIRPA	-0.919047619047619	0.204925385315915	0	0.413461538461538	0.359042968583944	0	2.49860470122618		0
Pavlovian.fear.conditioning.Nb.cage	preclinical	MX2	Pavlovian fear conditioning:Nb/cage	Pavlovian fear cond.	-0.919047619047619	0.204925385315915	0	0.413461538461538	0.359042968583944	0	2.49860470122618		0
Rotarod.test.Nb.cage	preclinical	MX2	Rotarod test:Nb/cage	Rotarod	-0.919047619047619	0.204925385315915	0	0.413461538461538	0.359042968583944	0	2.49860470122618		0
Clinical.chemistry.parameters.T..bilirubin.mg.dl..mg.dl.	preclinical	MX2	Clinical chemistry parameters:T. bilirubin mg/dl (mg/dl)	Clinical chemistry	0.115357142857143	0.227845584751921	0	-0.0254761904761904	0.608992071738977	0	2.23886547411752		0
Auditory.startle.reflex.reactivity.and.PPI...P1.PP90	preclinical	MX2	Auditory startle reflex reactivity and PPI - P1:PP90	Auditory and PPI	-72.9371428571428	0.435072157794369	0	-104.609615384615	0.00933887298614366	1	1.09167025782585		0
ECG.in.anaesthetized.conditions.Ramp..mv.	preclinical	MX2	ECG in anaesthetized conditions:Ramp (mv)	ECG	-0.180952380952381	0.469044210543496	0	-0.104423076923077	0.384442416291085	0	1.25744371057409		0
Grip.test.Grip.mean.ratio..g.g.	preclinical	MX2	Grip test:Grip mean ratio (g/g)	Grip test	-0.510714285714286	0.525353370131545	0	0.184711538461539	0.571245885659522	0	1.75222865220011		0
Echocardiography.using.the.Vevo.light.HR..bpm.	preclinical	MX2	Echocardiography using the Vevo light:HR (bpm)	Echocardiography	25.7142857142857	0.643235771388744	0	42.2980769230769	0.00896936477347841	1	1.16652534121179		0
Open.field.test...Time.Spent.in.the.Center.I2..cm.	preclinical	MX2	Open field test:% Time Spent in the Center I2 (cm)	Open field	-2.87523809523809	0.643235771388744	0	-1.21826923076923	0.608992071738977	0	1.28989794612796		0
Haematology...Complete.blood.count..CBC.on.the.Advia.120.HCT....	preclinical	MX2	Haematology - Complete blood count (CBC)on the Advia 120:HCT (%)	Haematology	-2.36643356643356	0.643235771388744	0	-2.26573426573427	0.196862741264085	0	1.71183394177796		0
Clinical.chemistry.parameters.Albumin..g.l.	preclinical	MX2	Clinical chemistry parameters:Albumin (g/l)	Clinical chemistry	1.63736263736264	0.643235771388744	0	1.96666666666667	0.0673889449435366	0	0.715449784706946		0
Haematology...Complete.blood.count..CBC.on.the.Advia.120.Hte.brut....	preclinical	MX2	Haematology - Complete blood count (CBC)on the Advia 120:Hte brut (%)	Haematology	-1.18321678321678	0.643235771388744	0	-1.13286713286713	0.196862741264085	0	1.71183394177796		0
Body.Weight.body.weight.w7..g.	preclinical	MX2	Body Weight:body weight w7 (g)	Body	0.860476190476192	0.643235771388744	0	-4.55817307692308	1.14631778366014e-07	1	1.25944355371651		0
