sampleMetadata	gene	mouse_nb	sex	Sample.name	id	supp_Condition	supp_Bio.Rep
X501f	MX2	501	F	abundance_501	X501f	Mx2	25
X502m	MX2	502	M	abundance_502	X502m	Mx2	26
X503m	MX2	503	M	abundance_503	X503m	Mx2	27
X506m	MX2	506	M	abundance_506	X506m	Mx2	28
X508f	MX2	508	F	abundance_508	X508f	Mx2	29
X509f	MX2	509	F	abundance_509	X509f	Mx2	30
X517f	MX2	517	F	abundance_517	X517f	Mx2	31
X518f	MX2	518	F	abundance_518	X518f	Mx2	32
X527m	MX2	527	M	abundance_527	X527m	Mx2	33
X528m	MX2	528	M	abundance_528	X528m	Mx2	34
X529f	MX2	529	F	abundance_529	X529f	Mx2	35
X531f	MX2	531	F	abundance_531	X531f	Mx2	36
W616f	WT	616	F	abundance_616	W616f	CONT	2
W617f	WT	617	F	abundance_617.run90methode30K	W617f	CONT	1
W620f	WT	620	F	abundance_620	W620f	CONT	3
W622f	WT	622	F	abundance_622	W622f	CONT	4
W623f	WT	623	F	abundance_623	W623f	CONT	5
W625m	WT	625	M	abundance_625	W625m	CONT	6
W627m	WT	627	M	abundance_627	W627m	CONT	7
W628m	WT	628	M	abundance_628	W628m	CONT	8
W630m	WT	630	M	abundance_630	W630m	CONT	9
W631m	WT	631	M	abundance_631	W631m	CONT	10
W632f	WT	632	F	abundance_632	W632f	CONT	11
W633f	WT	633	F	abundance_633	W633f	CONT	12
W634m	WT	634	M	abundance_634	W634m	CONT	13
